country,article_title,date,views
Belgium,Belgium,20260717,7743
Belgium,Belgium,20260718,8179
Belgium,Belgium,20260719,9363
Belgium,Belgium,20260720,8183
Belgium,Belgium,20260721,9017
Belgium,Belgium,20260722,7729
Belgium,Belgium,20260723,6849
Belgium,Belgium,20260724,6493
Belgium,Belgium,20260725,5926
Belgium,Belgium,20260726,6311
Belgium,Belgium,20260727,6322
Belgium,Belgium,20260728,6339
Belgium,Belgium,20260729,5954
Belgium,Belgium,20260730,5880
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260601,6996
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260602,7128
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260603,7208
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260604,7305
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260605,8096
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260606,8316
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260607,8629
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260608,9724
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260609,9861
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260610,11485
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260611,18066
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260612,185071
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260613,46533
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260614,18810
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260615,13918
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260616,12576
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260617,14735
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260618,87950
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260619,23411
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260620,12465
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260621,12606
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260622,11275
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260623,12410
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260624,40246
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260625,25774
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260626,42480
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260627,27988
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260628,36676
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260629,31051
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260630,40626
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260701,127350
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260702,306138
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260703,32254
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260704,16249
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260705,12723
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260706,13236
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260707,12535
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260708,10357
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260709,10076
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260710,11552
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260711,12206
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260712,11103
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260713,9370
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260714,8851
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260715,8314
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260716,7298
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,20260717,7028
